This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
9/10/2013, 6.035564221833882
9/11/2013, 17.4910888671875
9/12/2013, 9.118405793842516
9/13/2013, 21.03676404451069
9/14/2013, 8.042325471576891
9/15/2013, 13.344189292506167
9/16/2013, 5.661598205566406
9/17/2013, 8.508380287571958
9/18/2013, 3.1029881929096423
9/19/2013, 2.7949682536878084
9/20/2013, 1.263844138697574
9/21/2013, 0
9/22/2013, 0
9/23/2013, 0
9/24/2013, 0
9/25/2013, 0
9/26/2013, 0
9/27/2013, 0
9/28/2013, 3.7759788914730676
9/29/2013, 3.277998874061986
9/30/2013, 3.6150287828947367
10/1/2013, 0
10/2/2013, 1.6818651902048212
10/3/2013, 17.56000558953536
10/4/2013, 0
10/5/2013, 0
10/6/2013, 0.29612601430792557
10/7/2013, 14.395957545230264
10/8/2013, 13.736663818359375
10/9/2013, 8.516041805869655
10/10/2013, 2.7362452055278577
10/11/2013, 0
10/12/2013, 0
10/13/2013, 0
10/14/2013, 0
10/15/2013, 8.927859657689146
10/16/2013, 0.6263408660888672
10/17/2013, 0
10/18/2013, 1.253219905652498
10/19/2013, 3.084573645340769
10/20/2013, 9.094978734066611
10/21/2013, 3.196773930599815
10/22/2013, 3.065106040553043
10/23/2013, 2.7863855863872327
10/24/2013, 5.37327776457134
10/25/2013, 13.794563695004111
10/26/2013, 0.15724351531580874
10/27/2013, 2.26606589869449
10/28/2013, 0.04256306510222586
10/29/2013, 0
10/30/2013, 0
10/31/2013, 0
11/1/2013, 3.3535511619166325
11/2/2013, 0
11/3/2013, 1.7049761320415295
11/4/2013, 0
11/5/2013, 0
11/6/2013, 0
11/7/2013, 0
11/8/2013, 0
11/9/2013, 0
11/10/2013, 0
11/11/2013, 0
11/12/2013, 0
11/13/2013, 0.22796906922992907
11/14/2013, 0
11/15/2013, 0
11/16/2013, 27.61127993935033
11/17/2013, 0
11/18/2013, 0
11/19/2013, 0
11/20/2013, 0
11/21/2013, 0
11/22/2013, 0
11/23/2013, 0.47356374640213816
11/24/2013, 0.6944476679751748
11/25/2013, 0
11/26/2013, 0
11/27/2013, 0
11/28/2013, 0
11/29/2013, 0
11/30/2013, 0.29121173055548416
