This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
6/3/2013, 0
6/4/2013, 3.358796974464699
6/5/2013, 3.9519467954282406
6/6/2013, 15.817478660300926
6/7/2013, 2.1987065067997684
6/8/2013, 22.977806712962963
6/9/2013, 10.31695511429398
6/10/2013, 21.546726707175925
6/11/2013, 18.91027922453704
6/12/2013, 26.47531105324074
6/13/2013, 8.997578486689815
6/14/2013, 0.39859585232204864
6/15/2013, 1.1834043149594908
6/16/2013, 5.932931857638889
6/17/2013, 27.36688548900463
6/18/2013, 16.957883029513887
6/19/2013, 24.432591869212963
6/20/2013, 12.51238968460648
6/21/2013, 17.163017216435186
6/22/2013, 42.48196614583333
6/23/2013, 6.467938910590278
6/24/2013, 14.18331615306713
6/25/2013, 7.1103705512152775
6/26/2013, 8.352930591724537
6/27/2013, 15.624558738425925
6/28/2013, 12.061333550347221
6/29/2013, 3.062080665870949
6/30/2013, 3.7699946650752314
7/1/2013, 0.23469356960720486
7/2/2013, 0.3646916989926939
7/3/2013, 10.901708984375
7/4/2013, 9.265205439814816
7/5/2013, 33.61853298611111
7/6/2013, 0.20443800467031972
7/7/2013, 6.540786856192129
7/8/2013, 1.173201271339699
7/9/2013, 3.11622314453125
7/10/2013, 19.895274522569444
7/11/2013, 7.519154188368056
7/12/2013, 9.10624367042824
7/13/2013, 7.204412163628472
7/14/2013, 3.034490288628472
7/15/2013, 18.835255714699073
7/16/2013, 26.33232060185185
7/17/2013, 21.21627242476852
7/18/2013, 0
7/19/2013, 13.799991861979167
7/20/2013, 0.7788411458333333
7/21/2013, 0.416284434000651
7/22/2013, 25.247063078703704
7/23/2013, 3.9518735532407407
7/24/2013, 0.6742224799262153
7/25/2013, 0.15865724351671007
7/26/2013, 0.21998247217248987
7/27/2013, 0
7/28/2013, 0.06974220275878906
7/29/2013, 0
7/30/2013, 0.7857309412073206
7/31/2013, 30.628537326388887
8/1/2013, 11.858596462673612
8/2/2013, 0.7951710453739873
8/3/2013, 0
8/4/2013, 5.921997974537037
8/5/2013, 5.544099482783565
8/6/2013, 7.68002296730324
8/7/2013, 1.2187448007089121
8/8/2013, 1.1675862630208333
8/9/2013, 9.88226001880787
8/10/2013, 3.532768645109954
8/11/2013, 13.482101779513888
8/12/2013, 1.0451621726707176
8/13/2013, 8.629405381944444
8/14/2013, 0
8/15/2013, 15.684810836226852
8/16/2013, 7.268596281828704
8/17/2013, 11.214693648726852
8/18/2013, 2.733106372974537
8/19/2013, 1.1291727701822916
8/20/2013, 3.0289121274594906
8/21/2013, 5.888408293547454
8/22/2013, 3.967671260127315
8/23/2013, 0
8/24/2013, 0
8/25/2013, 0
8/26/2013, 0.29471819842303243
8/27/2013, 0.059774045591001156
8/28/2013, 11.450521737557871
8/29/2013, 7.296088324652778
8/30/2013, 11.818645109953703
8/31/2013, 7.033652524594907
9/1/2013, 8.173168041087964
9/2/2013, 9.464802155671297
9/3/2013, 9.796393952546296
9/4/2013, 2.1061039677372686
9/5/2013, 12.74879738136574
9/6/2013, 11.710158058449075
9/7/2013, 9.685527886284722
9/8/2013, 7.839433232060185
9/9/2013, 1.5844564932364005
9/10/2013, 0.2104976936622902
9/11/2013, 14.478166594328703
9/12/2013, 14.341931604456018
9/13/2013, 2.115009449146412
9/14/2013, 5.464999276620371
9/15/2013, 0.3037033646195023
9/16/2013, 6.0066089771412035
9/17/2013, 12.31915328414352
9/18/2013, 1.8012400309244792
9/19/2013, 0
9/20/2013, 1.1185707374855325
